Alloys,k,vm,tm,vac,delta,delta_chi,delta_s_mix,delta_h_mix,Class
Co0.5Cr1Fe1Mn1.5Ni1,154.89999999999998,7.073,1776.4500000000003,7.800000000000001,1.6543594566627562,0.1463591473055237,12.945833341722775,-6.32,0
Co1Cu0.25Fe1Ni1Ti0.25,168.35714285714286,7.0928571428571425,1752.1942857142856,8.785714285714286,1.7514892774149773,0.09187391537607725,12.06198798144985,-8.616326530612245,0
Al0.25Cr1Cu1Fe1Ni2,161.14285714285714,7.072380952380952,1721.6642857142858,8.714285714285715,2.5649107254274144,0.10573573356001233,12.139981656446675,-3.200000000000001,0
Cr2Cu2Fe1Mn2Ni2,151.44444444444446,7.082222222222223,1709.0655555555556,8.444444444444443,1.8032806270159578,0.14802402207449675,13.14520848339997,3.3580246913580254,0
Co1Cu1Fe1Ni1Sn0.1,164.09756097560975,7.1048780487804875,1635.3148780487807,9.609756097560977,1.8531225516825445,0.03284995542894264,12.197860072269918,5.989292088042833,0
Cr1Cu1Fe1Mn1Ni1,153.2,7.084,1719.2740000000003,8.4,1.7749925672341897,0.14184498581197713,13.380861848448422,3.824,0
Al0.25Co1Cr1Cu0.75Fe1Ni1,162.2,7.091000000000001,1747.859,8.4,2.6159078492830914,0.1031637048578617,14.315911735815824,-4.009999999999999,0
Co1Cr1Fe1Nb0.206Ni1,171.71326676176892,7.098145506419402,1914.9146219686168,8.090822634331909,2.1226367332490303,0.10557686703197541,12.586483529152657,-10.653575751326878,0
Co1Cr1Cu1Fe1Mn1,153.2,7.104,1727.274,8.200000000000001,1.7749925672341897,0.13632314550361577,13.380861848448422,5.760000000000001,0
Co1Cu1Fe1Mn1Ni1Sn0.08,155.44094488188975,7.124803149606299,1617.3281102362205,9.078740157480315,1.9152546747238517,0.1350112456652145,13.843523345991855,1.4005828011656023,0
Be1Mo1,179.5,7.2,2227.65,4.0,15.999999999999998,0.29500000000000004,5.762823676963555,-13.0,0
Al17Co83Cr83Fe83Mn83Ni83,157.65509259259258,7.121898148148149,1767.197314814815,7.8032407407407405,2.535532868995348,0.1389626887262357,14.233415308128146,-11.966651663237313,0
Cu1Fe1,154.5,7.1,1584.46,9.5,1.8181818181818132,0.03499999999999992,5.762823676963555,19.3,0
Co1Cr1Fe1Mn1Ni1V0.5,160.81818181818184,7.126363636363637,1836.059090909091,7.727272727272727,1.8076652062876768,0.1375944454000912,14.69716293397956,-9.586776859504132,0
Al8Co17Cr17Cu8Fe17Ni33,162.71,7.121099999999999,1732.6952,8.33,2.914687611528825,0.10806479537758813,13.914913358810116,-12.0256,0
Fe1Co1Ni1Cr1Cu1Al0.3,160.33962264150944,7.118867924528302,1721.7756603773587,8.471698113207546,2.6802652914930185,0.10368263596014521,14.431902704495641,-3.043075827696688,0
Cr2Cu1Fe2Mn1Ni1,156.42857142857144,7.107142857142858,1798.2385714285713,8.0,1.6300400310146328,0.1286983500520595,12.885248789902855,3.5510204081632666,0
Al0.5B0.2Co1Cr1Cu1Fe1Ni1,163.0175438596491,7.131578947368421,1716.1640350877194,8.087719298245613,7.621534143600899,0.11506418244558704,15.445243961005607,-12.2486919052016,0
Cr1Cu2Fe2Ni1Mn2,149.125,7.12625,1660.5550000000003,8.5,1.752481152130052,0.14551095319597074,12.966352777616104,6.69375,0
Cr1Fe2Mn1.25Ni0.75,155.95,7.1235,1799.5000000000002,7.65,1.2821235957886594,0.13370115930686616,10.970697017031927,-3.9689999999999994,0
Co1Cr1Fe1Nb0.25Ni1,171.7058823529412,7.1364705882352935,1923.5617647058825,8.058823529411764,2.174421967416966,0.10714282418849386,12.707658957919202,-11.565397923875432,0
Co1Cu1Fe1Mn1Ni1Sn0.1,155.05882352941177,7.16078431372549,1612.5374509803924,9.098039215686276,1.9444561127570266,0.135045238550678,13.920866419571214,1.1564782775855444,0
Al0.348Co1Cr1Fe1Ni1,164.08647654093835,7.155013799448023,1796.7910671573138,7.8298068077276906,3.043135252539706,0.10885209708002345,12.921605829649852,-16.137440978901783,0
Cr2Cu2Fe1Ni1Mn2,148.0,7.1425,1706.6799999999998,8.25,1.752481152130052,0.1470544116985274,12.966352777616104,6.468750000000002,0
Cr1Fe1.5Mn1Ni0.5,155.25,7.1425,1820.0249999999999,7.5,1.1864355654998162,0.13083864108129525,10.981861720520435,-3.5812500000000003,0
Al0.3Co1Cr2Fe1Ni1,164.11320754716982,7.143396226415096,1876.9416981132076,7.528301886792454,2.7917657747889884,0.11230615989030078,12.25725250345955,-13.78996084015664,0
Al22Co78Cr78Fe78Mn78Ni78,156.4611650485437,7.163980582524272,1755.0068932038835,7.733009708737864,2.746574915246496,0.1391109348719986,14.398999424405039,-13.78950890753134,0
Co1Cr1Fe5Mn3,153.8,7.159999999999999,1756.1500000000003,7.6,1.075268817204298,0.13207573584879245,9.713096326345305,-1.7600000000000002,0
Al1C1Co1Cr1Fe1Ni1,132.83333333333334,7.154999999999999,2193.12,6.666666666666667,19.920566549873595,0.3080404013906111,14.896682280527974,-61.96666666666667,0
Co1Cr1Fe1Mn1Ni1V0.75,160.73913043478262,7.179565217391305,1851.15,7.608695652173913,1.8150276924290827,0.13691165586715884,14.854814091949796,-10.682797731569,0
Al22Co71Cr71Fe71Mn71Ni71,156.0397877984085,7.178832891246684,1750.7044827586208,7.708222811671087,2.816036918459103,0.13915498072957874,14.449199985443107,-14.418701320631259,0
Al0.4Co1Cu0.4Fe1Ga0.02Ni1,160.869109947644,7.192670157068063,1630.891151832461,8.602094240837697,3.0569886250483402,0.08706965269789144,12.908523004509679,-12.064910501356872,0
Cr1Fe1Ni2V0.5W0.25,177.57894736842107,7.176315789473684,1991.7815789473689,8.736842105263158,1.800543477859277,0.11392518320556283,11.741182944347996,-11.146814404432131,0
Al0.1Cr1Fe2Mn1.25Ni0.75,154.38235294117646,7.179901960784314,1782.5190196078433,7.558823529411765,1.9076990875470878,0.1335681323606589,11.557959741537497,-6.63917723952326,0
Co1Cr1Fe1Nb0.309Ni1,171.69621721977256,7.186632629380368,1934.8796356463217,8.016941285681133,2.23830111644898,0.10909353331179962,12.844489235704794,-12.726529786135233,0
Co1Cr1Fe1Ni1V1,169.2,7.196,1934.15,7.6,1.7879487173599873,0.11513470371699405,13.380861848448422,-13.584,0
Co2Cr1Mo0.5Ni2W0.5,190.83333333333331,7.215833333333333,2077.3166666666666,9.5,2.281498406569474,0.13139211882334836,12.015270442046315,-6.161111111111111,0
Co2Cr0.5Ni2V1W0.5,184.83333333333331,7.221666666666666,2018.2333333333336,9.333333333333334,1.0204999354939668,0.11499999999999999,12.015270442046315,-13.475,0
Al0.4Co1Cu0.4Fe1Ga0.04Ni1,160.32291666666666,7.216666666666667,1623.9745833333336,8.625,3.0623431301004316,0.08688617783805169,13.052111272863874,-12.430555555555555,0
Al0.45Co1Cr1Cu1Fe1Ni1,158.01834862385317,7.198165137614678,1700.0791743119266,8.321100917431192,2.9786714557598177,0.10803195417390526,14.645499442948141,-6.269505933843952,0
Co1Fe1Mn1Ni1V1,160.8,7.228,1801.9500000000003,7.800000000000001,1.7879487173599873,0.14338758663147935,13.380861848448422,-13.584000000000001,0
Cr1Cu1,150.0,7.165,1768.96,8.5,1.8181818181818132,0.12,5.762823676963555,18.1,0
Al0.45Co1Cr1Fe1Ni1,162.06741573033707,7.2202247191011235,1777.0025842696627,7.719101123595506,3.2678948876138474,0.11141399892595244,13.08333831669425,-18.548163110718342,0
Al0.4Co1Cu0.4Fe1Ga0.06Ni1,159.78238341968913,7.24041450777202,1617.1296891191712,8.647668393782384,3.0675064737013207,0.08670377209293424,13.171895606896062,-12.787994308572042,0
Al0.5Co1Cr1Cu0.5Fe1Ni1,159.0,7.236000000000001,1726.6440000000002,8.0,3.2050727526034337,0.11118003417880387,14.533425989178351,-12.351999999999999,0
Co1Cr1Mn1Ni1V1,159.0,7.254,1875.7500000000005,7.4,1.7879487173599873,0.14291256067959873,13.380861848448422,-13.92,0
Al0.5Co1Fe1Ni1,161.42857142857142,7.257142857142858,1649.767142857143,8.142857142857142,3.4289633324909294,0.09707981147446855,11.238728164101017,-21.453061224489794,0
Co27.5Cr17.5Fe20Mo15Ni20,181.325,7.257750000000001,2009.9,8.025,2.604071419223051,0.1446020400962587,13.205814972559285,-6.588000000000001,0
Al1Co1Cr1Cu0.5Fe1Ni3,158.79999999999998,7.250666666666666,1674.1673333333333,8.2,3.3126932999996868,0.11598084132974526,13.482541116238687,-19.320888888888888,0
Fe41Co7Cr15Mo14C15B6Y2,163.18,7.247499999999999,2486.245,6.489999999999998,22.122630436358524,0.30003539791164635,13.661061765582703,-57.23451999999999,0
Al0.4Co1Cu0.4Fe1Ga0.08Ni1,159.2474226804124,7.263917525773196,1610.3553608247423,8.670103092783506,3.0724842198509257,0.08652242657702015,13.276104827841836,-13.137421617600172,0
Al0.12Co1Cr1Fe1Mo0.5Ni1,175.56709956709958,7.257575757575758,1958.266536796537,7.87012987012987,2.836571187454922,0.14411521338926608,13.80524484242188,-9.983321152152321,0
Al1Co1Cu50Ni1Ti1Zn1,138.39999999999998,7.238181818181817,1362.8018181818181,10.690909090909091,1.115427584720138,0.06897214673180316,3.749181003466868,-1.8960661157024794,0
Al32Co68Cr68Fe68Mn68Ni68,153.68817204301075,7.261720430107526,1726.6936559139788,7.56989247311828,3.165175116717326,0.13932173043580376,14.667775121901448,-17.794473349520175,0
Al10Co21Cr18Fe36Ni15,161.68,7.2544,1768.3220000000001,7.65,3.3210122788050254,0.10305818744767442,12.62913314706449,-17.026080000000004,0
Al0.3Cr1Cu1Fe1Mn1Ni1,148.83018867924528,7.249056603773584,1674.7945283018867,8.09433962264151,2.7917657747889884,0.1426469999941589,14.431902704495643,-3.7735849056603783,0
Al1Co3Cr1Cu0.5Fe1Ni1,158.79999999999998,7.277333333333334,1684.8340000000003,7.933333333333333,3.3126932999996868,0.11049384095454769,13.48254111623869,-17.855999999999998,0
Al0.5Co1Cr1Cu1Fe1Ni1V0.2,157.33333333333331,7.263157894736842,1710.3043859649124,8.157894736842104,3.014233061311489,0.1126815760485896,15.445243961005607,-8.587257617728532,0
Co1Cr1Fe1Nb0.412Ni1,171.67996373526745,7.270988213961922,1953.9124660018133,7.946509519492294,2.336702012132225,0.11213607852267439,13.029135682779707,-14.596554850407978,0
Al0.55Co1Cr1Fe1Ni1,160.17582417582418,7.281318681318682,1758.4634065934067,7.615384615384616,3.4568484260537296,0.11360532889052605,13.197582475446637,-20.68832266634465,0
Co1Cr1Cu1Fe1Ni1Ti0.5,160.27272727272728,7.278181818181819,1784.8990909090912,8.363636363636363,1.8136508526661113,0.12235971897011809,14.69716293397956,-5.666115702479338,0
Al1Cu0.5Li0.5Mg1Sn0.2,64.71875,11.675,887.9599999999999,4.3125,7.537477716523204,0.3087272258807117,12.30761807093722,-8.574218749999998,0
Al1Co1Cr1Cu0.5Fe1Ni2.5,157.35714285714286,7.297142857142857,1670.3114285714287,8.071428571428571,3.4289633324909294,0.11751899542505574,13.869192456552804,-19.844897959183672,0
Al0.5Co1Cr1Cu1Fe1Ni1Ti0.12,156.24199288256227,7.295729537366548,1698.4489323843418,8.18149466192171,3.0614572698672204,0.11524920784573327,15.24181724807078,-9.603475133293651,0
Al0.56Co1Cr1Fe1Mn1Ni1,152.4388489208633,7.305755395683452,1713.9376258992804,7.496402877697841,3.3287133264930304,0.1393558792209478,14.749005887859383,-19.49433259148077,0
Al0.5Co1Cr1Cu1Fe1Ni1V0.4,157.38983050847455,7.299999999999998,1726.3330508474576,8.050847457627118,2.9656554769818366,0.1153924893636985,15.761799329352323,-9.715598965814419,0
Cr1Fe1Ni2V0.5W0.5,184.1,7.2940000000000005,2076.55,9.3,1.7879487173599873,0.11315917991926243,12.228296716613785,-10.384,0
Al0.32Cr1Fe2Mn1.25Ni0.75,151.14097744360902,7.296522556390977,1747.4079699248118,7.370300751879699,2.7491665362154567,0.13314269494598563,12.201250594028277,-11.811613149414889,0
Co1Cu9Fe1Ni1Ti1,145.84615384615384,7.3,1497.733076923077,10.0,1.328729677003804,0.09611999404097912,8.678097369811288,1.6402366863905335,0
Al0.7Cr1Fe1Ni2.3,158.78,7.302,1723.8948,7.819999999999999,3.5856182245260255,0.12130952147296596,10.610607241183118,-24.101919999999996,0
Co1Cu1Fe1Ni1Sn0.2,161.57142857142856,7.3238095238095235,1605.8004761904763,9.714285714285714,2.0613518408012568,0.03456893602453621,12.568471921250215,4.612244897959184,0
Al0.6Co1Cr1Fe1Ni1,159.26086956521743,7.310869565217392,1749.496086956522,7.5652173913043494,3.5417509793885866,0.11459635745422683,13.24158422598884,-21.682419659735352,0
Al0.61Co1Cr1Fe1Ni1,159.08026030368765,7.3167028199566175,1747.7259652928421,7.5553145336225604,3.558048695434282,0.11478682653814813,13.24946530185668,-21.875485246163915,0
Co1Cu1Fe1Mn1Ni1Sn0.2,153.19230769230768,7.336538461538462,1589.1369230769228,9.192307692307692,2.077366522995987,0.13517739823684588,14.221590589730251,-0.00887573964497057,0
Al38Co62Cr62Fe62Mn62Ni62,151.7183908045977,7.331149425287356,1706.5814942528737,7.454022988505747,3.41725834443138,0.13935841892717452,14.78664683065123,-20.445091821905137,0
Al1C0.5Co1Cr1Fe1Ni1,141.8181818181818,7.323636363636364,1961.7990909090909,6.909090909090909,15.02989152845989,0.24993883549301274,14.697162933979559,-48.48925619834712,0
Al0.62Co1Cr1Fe1Mn1Ni1,151.62277580071174,7.334519572953736,1705.605231316726,7.448398576512456,3.428715926238641,0.13935781299611164,14.791171304658087,-20.569648307392253,0
Co1Cr1Fe1Mo0.85Ni1,181.95876288659795,7.344329896907217,2051.2324742268042,7.855670103092784,2.6257214303250938,0.15627043388545667,13.364429156774753,-6.937187798915931,0
Al0.5Co1Cr1Cu1Fe1Ni1V0.6,157.44262295081967,7.334426229508196,1741.3106557377052,7.950819672131148,2.9193449903314,0.11758681686368744,15.92420678636694,-10.679924751410914,0
Al0.5Co1Cr1Cu1Fe1Ni1V0.62,157.44771241830063,7.337745098039215,1742.7545751633988,7.9411764705882355,2.914831915203492,0.11778178560205241,15.934773668056268,-10.768294245802895,0
Al0.7Co1Cu0.7Fe1Ni1,154.13636363636363,7.356818181818181,1570.7540909090908,8.363636363636363,3.436991545502668,0.10232296745805153,13.261590124412843,-15.292561983471069,0
Cr1Fe1Ni1V0.5W0.25,177.2,7.33,2062.0833333333335,8.4,1.8119406231350828,0.11114355082004936,12.525826607198269,-10.247111111111112,0
Al1Co2Cu1Fe1Ni1,153.66666666666666,7.366666666666667,1561.14,8.333333333333332,3.3448228615742237,0.10372238588334401,12.975741385241681,-15.999999999999998,0
Al1Co1Cr1Cu0.5Fe1Ni2,155.6923076923077,7.350769230769231,1665.8623076923077,7.923076923076923,3.5584034178908235,0.11885051025124897,14.232274507701039,-20.307692307692307,0
Al40Co60Cr60Fe60Mn60Ni60,151.0,7.356470588235294,1699.2464705882353,7.411764705882353,3.5017406916534357,0.13934845919343625,14.818059805369904,-21.37162629757786,0
Al0.3Cr1Fe1.5Ni0.5,159.33333333333334,7.327272727272728,1830.6033333333335,7.242424242424242,3.222610615080257,0.10295451758199727,10.177117873281453,-15.193755739210287,0
